# cycle i_ni i_router o_ni o_router vnet flit
265 13 13 35 11 0 8
265 11 11 32 8 0 8
265 8 8 39 15 0 8
265 8 8 31 7 1 8
265 8 8 30 6 1 8
265 1 1 32 8 0 8
265 15 15 32 8 0 8
265 7 7 38 14 0 8
265 14 14 28 4 0 8
265 14 14 24 0 1 8
265 6 6 38 14 0 8
265 4 4 24 0 0 8
273 12 12 27 3 0 8
273 3 3 33 9 0 8
273 3 3 41 17 1 8
273 9 9 41 17 0 8
273 17 17 29 5 0 8
273 17 17 34 10 1 8
273 5 5 34 10 0 8
273 10 10 44 20 0 8
273 10 10 43 19 1 8
273 19 19 40 16 0 8
273 16 16 26 2 0 8
273 16 16 37 13 1 8
273 16 16 25 1 1 8
273 20 20 40 16 0 8
273 2 2 40 16 0 8
273 13 13 35 11 0 8
273 11 11 32 8 0 8
273 8 8 39 15 0 8
273 8 8 31 7 1 8
273 8 8 30 6 1 8
273 1 1 32 8 0 8
273 15 15 32 8 0 8
273 7 7 38 14 0 8
273 14 14 28 4 0 8
273 14 14 24 0 1 8
273 6 6 38 14 0 8
273 4 4 24 0 0 8
281 12 12 27 3 0 8
281 3 3 33 9 0 8
281 3 3 41 17 1 8
281 9 9 41 17 0 8
281 17 17 29 5 0 8
281 17 17 34 10 1 8
281 5 5 34 10 0 8
281 10 10 44 20 0 8
281 10 10 43 19 1 8
281 19 19 40 16 0 8
281 16 16 26 2 0 8
281 16 16 37 13 1 8
281 16 16 25 1 1 8
281 20 20 40 16 0 8
281 2 2 40 16 0 8
281 13 13 35 11 0 8
281 11 11 32 8 0 8
281 8 8 39 15 0 8
281 8 8 31 7 1 8
281 8 8 30 6 1 8
281 1 1 32 8 0 8
281 15 15 32 8 0 8
281 7 7 38 14 0 8
281 14 14 28 4 0 8
281 14 14 24 0 1 8
281 6 6 38 14 0 8
281 4 4 24 0 0 8
289 12 12 27 3 0 8
289 3 3 33 9 0 8
289 3 3 41 17 1 8
289 9 9 41 17 0 8
289 17 17 29 5 0 8
289 17 17 34 10 1 8
289 5 5 34 10 0 8
289 10 10 44 20 0 8
289 10 10 43 19 1 8
289 19 19 40 16 0 8
289 16 16 26 2 0 8
289 16 16 37 13 1 8
